1.939	  -0.01   0.00  -0.00   0.00   0.00  -0.00   0.00
2.158	  -0.01  -0.01   0.06   0.00   0.00  -0.00   0.00
2.350	  -0.01  -0.01   0.06   0.00   0.00  -0.00   0.00
2.575	  -0.02   0.01  -0.01  -0.00   0.00  -0.00   0.00
2.756	  -0.02   0.01   0.02   0.00   0.00  -0.00   0.00
2.918	  -0.01   0.03   0.01  -0.00   0.00  -0.00   0.00
3.083	  -0.01   0.03   0.01  -0.00   0.00  -0.00   0.00
3.347	  -0.03   0.01   0.04   0.00   0.00  -0.00   0.00
3.573	  -0.03   0.02   0.03   0.00   0.00  -0.00   0.00
3.830	  -0.03   0.01   0.01   0.00   0.00  -0.00   0.00
4.087	  -0.03   0.02   0.01  -0.00   0.00  -0.00   0.00
4.374	  -0.04   0.02   0.01  -0.00   0.00  -0.00   0.00
4.631	  -0.03   0.02   0.01  -0.00   0.00  -0.00   0.00
4.866	  -0.74   0.87  -6.93  -0.08  -0.13  -0.01   0.02
5.027	  -0.74   0.87  -6.93  -0.08  -0.13  -0.01   0.02
5.200	  -0.40   1.12  -9.87  -0.10  -0.09  -0.00   0.01
5.393	  -0.60   1.86 -14.12  -0.17  -0.13  -0.01   0.02
5.585	  -0.60   1.86 -14.12  -0.17  -0.13  -0.01   0.02
5.839	  -0.62   2.82 -23.98  -0.25  -0.17  -0.01   0.03
6.031	  -0.61   2.58 -20.29  -0.23  -0.16  -0.01   0.03
6.209	  -0.65   2.98 -23.48  -0.27  -0.18  -0.01   0.03
6.372	  -0.65   2.98 -23.48  -0.27  -0.18  -0.01   0.03
6.534	  -0.71   3.09 -23.32  -0.28  -0.18  -0.02   0.03
6.778	  -0.76   3.56 -27.30  -0.33  -0.20  -0.02   0.04
7.034	  -0.90   3.92 -28.11  -0.37  -0.23  -0.02   0.05
7.289	  -0.90   3.92 -28.11  -0.37  -0.23  -0.02   0.05
7.515	  -0.85   3.89 -28.59  -0.36  -0.22  -0.02   0.05
7.698	  -0.96   4.42 -30.29  -0.42  -0.24  -0.02   0.06
7.860	  -1.11   5.23 -35.28  -0.50  -0.28  -0.03   0.08
8.061	  -1.11   5.23 -35.28  -0.50  -0.28  -0.03   0.08
8.338	  -1.16   5.61 -37.50  -0.54  -0.30  -0.03   0.09
