1.959	   0.01  -0.02   0.08  -0.00   0.00  -0.00   0.00
2.287	   0.00  -0.01   0.08  -0.00   0.00   0.00   0.00
2.501	  -0.00  -0.01   0.07  -0.00   0.00   0.00   0.00
2.673	   0.01  -0.02   0.08  -0.00   0.00   0.00   0.00
2.845	   0.01  -0.02   0.08  -0.00   0.00   0.00   0.00
3.063	  -0.00  -0.02   0.08  -0.00   0.00  -0.00   0.00
3.297	  -0.01  -0.02   0.08  -0.00   0.00  -0.00   0.00
3.558	  -0.41  -0.00  -4.62  -0.02  -0.05   0.00   0.00
3.819	  -0.43  -0.10  -8.21  -0.02  -0.06   0.00   0.00
4.047	  -0.29  -0.42 -15.97  -0.00  -0.06   0.00   0.00
4.219	  -0.29  -0.42 -15.97  -0.00  -0.06   0.00   0.00
4.391	  -0.23  -0.56 -20.77  -0.00  -0.06   0.00   0.00
4.647	  -0.15  -0.70 -20.36   0.02  -0.05   0.00   0.00
4.907	  -0.16  -0.83 -22.31   0.03  -0.05   0.00   0.00
5.165	  -0.11  -0.93 -23.33   0.04  -0.05   0.00   0.00
5.424	  -0.04  -1.01 -24.08   0.04  -0.04   0.00   0.00
5.658	   0.08  -1.09 -25.27   0.05  -0.03   0.00   0.00
5.843	   0.08  -1.09 -25.27   0.05  -0.03   0.00   0.00
6.016	   0.21  -1.16 -27.06   0.05  -0.01   0.00   0.00
6.200	   0.21  -1.16 -27.06   0.05  -0.01   0.00   0.00
6.455	   0.36  -1.22 -28.91   0.06   0.00   0.00   0.00
6.627	   0.54  -1.30 -30.22   0.06   0.02   0.00   0.00
6.856	   0.68  -1.42 -31.47   0.08   0.04   0.00   0.00
7.113	   0.87  -1.56 -33.65   0.09   0.06   0.00   0.00
7.368	   0.98  -1.66 -33.65   0.10   0.07   0.00   0.00
7.600	   1.03  -1.72 -31.69   0.11   0.08   0.00   0.01
7.762	   1.03  -1.72 -31.69   0.11   0.08   0.00   0.01
7.934	   1.16  -1.84 -33.68   0.12   0.09   0.00   0.01
8.112	   1.28  -1.99 -34.66   0.14   0.11   0.00   0.01
8.380	   1.28  -1.99 -34.66   0.14   0.11   0.00   0.01
8.624	   1.43  -2.13 -35.10   0.15   0.12   0.00   0.01
8.826	   1.50  -2.20 -35.26   0.16   0.13   0.00   0.02
9.066	   1.67  -2.29 -35.14   0.17   0.15   0.00   0.02
9.300	   1.84  -2.37 -36.12   0.18   0.17   0.00   0.03
9.560	   2.06  -2.54 -37.55   0.20   0.19   0.00   0.04
9.815	   2.16  -2.57 -36.06   0.20   0.21  -0.00   0.04
10.016	   2.34  -2.68 -39.17   0.21   0.22   0.00   0.05
10.188	   2.34  -2.68 -39.17   0.21   0.22   0.00   0.05
10.350	   2.51  -2.73 -38.49   0.22   0.24   0.00   0.06
10.592	   2.78  -2.90 -41.35   0.24   0.27  -0.00   0.07
10.819	   2.78  -2.90 -41.35   0.24   0.27  -0.00   0.07
11.051	   2.90  -2.86 -39.58   0.24   0.28   0.00   0.08
11.242	   3.12  -2.94 -41.20   0.25   0.30   0.00   0.09
11.414	   3.21  -2.87 -39.58   0.24   0.31  -0.00   0.10
11.608	   3.21  -2.87 -39.58   0.24   0.31  -0.00   0.10
11.864	   3.16  -2.74 -36.82   0.23   0.31   0.00   0.10
12.122	   3.17  -2.69 -36.90   0.23   0.31   0.00   0.10
12.347	   3.07  -2.47 -32.03   0.21   0.31  -0.00   0.09
12.572	   3.04  -2.39 -31.87   0.20   0.30   0.00   0.09
12.778	   3.06  -2.37 -32.78   0.20   0.30   0.00   0.09
12.950	   3.06  -2.37 -32.78   0.20   0.30   0.00   0.09
13.139	   3.08  -2.34 -31.98   0.19   0.31   0.00   0.09
13.366	   2.75  -1.98 -20.14   0.17   0.28  -0.00   0.08
13.625	   2.52  -1.81 -16.20   0.16   0.27   0.00   0.07
13.881	   0.58  -1.22   2.20   0.13   0.09   0.00   0.01
14.137	   0.45  -1.29   5.37   0.15   0.09   0.06   0.01
14.374	   0.45  -1.29   5.37   0.15   0.09   0.06   0.01
14.546	   1.78  -2.34   7.20   0.27   0.23   0.05   0.05
14.718	   0.87  -1.63   2.90   0.17   0.10   0.01   0.01
14.908	   0.87  -1.63   2.90   0.17   0.10   0.01   0.01
15.164	   0.83  -1.12   2.88   0.12   0.10   0.01   0.01
15.358	   0.54  -0.87   3.22   0.10   0.07   0.00   0.01
15.619	   0.35  -0.74   2.63   0.08   0.05   0.00   0.00
