2.567	  -0.02   0.02   0.02  -0.00   0.00  -0.00   0.00
2.777	  -0.02   0.01  -0.02  -0.00   0.00  -0.00   0.00
2.949	  -0.02   0.01  -0.02  -0.00   0.00  -0.00   0.00
3.121	  -0.02   0.01   0.02  -0.00   0.00  -0.00   0.00
3.293	  -0.02   0.02   0.01   0.00   0.00  -0.00   0.00
3.454	  -0.02   0.02   0.01   0.00   0.00  -0.00   0.00
3.613	  -0.02   0.01  -0.01   0.00   0.00  -0.00   0.00
3.773	  -0.02   0.01  -0.01   0.00   0.00  -0.00   0.00
3.945	  -0.03   0.02   0.01   0.00   0.00  -0.00   0.00
4.117	  -0.02   0.01   0.02   0.00   0.00  -0.00   0.00
4.289	  -0.02   0.01   0.02   0.00   0.00  -0.00   0.00
4.461	  -0.02   0.02  -0.17  -0.00  -0.00  -0.00   0.00
4.635	  -0.03   0.01  -0.49  -0.00  -0.00  -0.00   0.00
4.807	  -0.03   0.01  -0.49  -0.00  -0.00  -0.00   0.00
4.979	  -0.01   0.01  -0.69   0.00  -0.01  -0.00   0.00
5.151	  -0.01   0.01  -0.69   0.00  -0.01  -0.00   0.00
5.311	   0.00   0.02  -0.77   0.00  -0.01  -0.00   0.00
5.471	   0.01   0.02  -1.00   0.00  -0.01  -0.00   0.00
5.631	   0.01   0.02  -1.00   0.00  -0.01  -0.00   0.00
5.803	   0.01   0.02  -1.13   0.00  -0.01  -0.00   0.00
5.975	   0.01   0.02  -1.13   0.00  -0.01  -0.00   0.00
6.147	   0.02   0.00  -1.21   0.00  -0.01  -0.00   0.00
6.319	   0.02  -0.00  -1.44   0.00  -0.01  -0.00   0.00
6.489	   0.02  -0.00  -1.44   0.00  -0.01  -0.00   0.00
6.649	   0.03   0.02  -1.61   0.00  -0.02  -0.00   0.00
6.809	   0.03   0.02  -1.73   0.00  -0.02  -0.00   0.00
6.982	   0.03   0.02  -1.73   0.00  -0.02  -0.00   0.00
7.153	   0.03   0.02  -1.85   0.00  -0.02  -0.00   0.00
7.325	   0.03   0.02  -1.85   0.00  -0.02  -0.00   0.00
7.497	   0.03   0.00  -1.96   0.00  -0.02  -0.00   0.00
7.669	   0.02   0.03  -2.11  -0.00  -0.02  -0.00   0.00
7.841	   0.02   0.03  -2.11  -0.00  -0.02  -0.00   0.00
8.013	   0.02   0.01  -2.17   0.00  -0.02  -0.00   0.00
8.185	   0.02   0.01  -2.24   0.00  -0.03  -0.00   0.00
8.357	   0.02   0.01  -2.24   0.00  -0.03  -0.00   0.00
8.529	   0.02   0.00  -2.45   0.00  -0.03  -0.00   0.00
8.701	   0.02   0.00  -2.45   0.00  -0.03  -0.00   0.00
8.861	   0.01   0.02  -2.42  -0.00  -0.03  -0.00   0.00
9.021	   0.01   0.01  -2.52   0.00  -0.03  -0.00   0.00
9.193	   0.01   0.01  -2.52   0.00  -0.03  -0.00   0.00
9.365	   0.00   0.00  -2.58   0.00  -0.03  -0.00   0.00
9.537	   0.00   0.00  -2.58   0.00  -0.03  -0.00   0.00
9.720	   0.00  -0.00  -2.67   0.00  -0.03   0.00   0.00
