2.626	   0.00  -0.00   0.00   0.00  -0.00   0.00   0.00
3.118	  -0.00   0.00  -0.00   0.00  -0.00  -0.00   0.00
3.287	  -0.00   0.00  -0.00   0.00  -0.00  -0.00   0.00
3.460	  -0.00   0.00  -0.00   0.00  -0.00   0.00   0.00
3.733	   0.00  -0.00   0.01  -0.00  -0.00  -0.00   0.00
3.993	  -0.01  -0.00   0.01  -0.00  -0.00  -0.00   0.00
4.251	  -0.00  -0.01  -0.01   0.00   0.00  -0.00   0.00
4.439	  -0.01  -0.00  -0.01  -0.00  -0.00  -0.00   0.00
4.622	  -0.01  -0.00  -0.01  -0.00  -0.00  -0.00   0.00
4.794	  -0.01   0.00  -0.11  -0.00  -0.00  -0.00   0.00
5.031	  -0.02  -0.01  -0.32  -0.00  -0.00  -0.00   0.00
5.301	  -0.02  -0.01  -0.37   0.00  -0.00  -0.00   0.00
5.557	  -0.04  -0.02  -0.62   0.00  -0.00   0.00   0.00
5.751	  -0.04  -0.02  -0.62   0.00  -0.00   0.00   0.00
5.999	  -0.06  -0.03  -0.81   0.00  -0.01   0.00   0.00
6.216	  -0.07  -0.03  -0.85   0.00  -0.01   0.00   0.00
6.388	  -0.09  -0.05  -1.03   0.00  -0.01   0.00   0.00
6.621	  -0.09  -0.05  -1.03   0.00  -0.01   0.00   0.00
6.854	  -0.12  -0.07  -1.57   0.00  -0.01   0.00   0.00
7.085	  -0.12  -0.07  -1.57   0.00  -0.01   0.00   0.00
7.279	  -0.12  -0.06  -1.64   0.00  -0.01   0.00   0.00
7.537	  -0.14  -0.07  -1.85   0.00  -0.01   0.00   0.00
7.796	  -0.14  -0.06  -1.87   0.00  -0.01   0.00   0.00
8.036	  -0.16  -0.06  -2.04   0.00  -0.01   0.00   0.00
8.293	  -0.16  -0.05  -2.06   0.00  -0.01   0.00   0.00
8.513	  -0.16  -0.06  -2.15   0.00  -0.01   0.00   0.00
8.732	  -0.16  -0.06  -2.15   0.00  -0.01   0.00   0.00
8.904	  -0.17  -0.06  -2.28   0.00  -0.01   0.00   0.00
9.260	  -0.16  -0.04  -2.28  -0.00  -0.01   0.00   0.00
9.453	  -0.17  -0.03  -2.35  -0.00  -0.01   0.00   0.00
9.719	  -0.17  -0.02  -2.29  -0.00  -0.01   0.00   0.00
9.938	  -0.17  -0.01  -2.36  -0.00  -0.01   0.00   0.00
10.110	  -0.17  -0.01  -2.36  -0.00  -0.01   0.00   0.00
10.377	  -0.19  -0.00  -2.50  -0.01  -0.02   0.00   0.00
10.637	  -0.19   0.01  -2.49  -0.01  -0.02   0.00   0.00
10.894	  -0.21   0.04  -2.74  -0.01  -0.02   0.00   0.00
11.185	  -0.22   0.06  -2.72  -0.01  -0.02  -0.00   0.00
11.442	  -0.24   0.08  -2.80  -0.01  -0.02  -0.00   0.00
11.670	  -0.26   0.08  -2.81  -0.01  -0.02  -0.00   0.00
