loaded 340 states from 0005.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
  175.045,   0.0, 284.0, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.4,  -0.1,   0.0, 200.0,  49.0,  -24,   90,  -24
  175.078,   0.0, 284.0, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,   22,   90,   22
  175.111,   0.0, 284.0, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.5,  -0.1,   0.0, 200.0,  49.0,  -64,   90,  -64
  175.144,   0.0, 284.0, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.4,  -0.1,   0.0, 200.0,  49.0,   50,   90,   50
  175.178,   0.0, 284.0, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.5,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  175.211,   0.0, 284.0, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.0,  -0.1,   0.0, 200.0,  49.0,  -72,   90,  -72
  175.245,   0.0, 284.1, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.5,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
  175.278,   0.0, 284.1, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.9,  -0.7,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
  175.311,   0.0, 284.1, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.3,  -0.2,  -0.1,   0.0, 200.0,  49.0,  -21,   90,  -21
  175.345,   0.0, 284.2, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   2.1,   1.2,  -0.1,   0.0, 200.0,  49.0,  -73,   90,  -73
  175.378,   0.0, 284.2, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.7,   2.6,  -0.1,   0.0, 200.0,  49.0,   42,   90,   42
  175.411,   0.0, 284.2, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.9,   1.7,   1.8,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  175.445,   0.0, 284.3, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.9,   2.0,   1.4,  -0.1,   0.0, 200.0,  49.0,   46,   90,   46
  175.478,   0.0, 284.3, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.9,   1.8,   1.4,  -0.1,   0.0, 200.0,  49.0,   46,   90,   46
  175.511,   0.0, 284.3, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.4,  -0.1,   0.0, 200.0,  49.0,   34,   90,   34
  175.544,   0.0, 284.4, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.5,   1.6,  -0.1,   0.0, 200.0,  49.0,   -5,   90,   -5
  175.578,   0.0, 284.4, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.9,   1.9,   1.2,  -0.1,   0.0, 200.0,  49.0,   -5,   90,   -5
  175.611,   0.0, 284.5, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   2.1,   1.4,  -0.1,   0.0, 200.0,  49.0,  -37,   90,  -37
  175.644,   0.0, 284.6, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   2.7,  -0.1,   0.0, 200.0,  49.0,   40,   90,   40
  175.678,   0.0, 284.6, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.9,   2.0,   0.7,  -0.1,   0.0, 200.0,  49.0,   40,   90,   40
  175.711,   0.0, 284.7, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.6,   0.3,  -0.1,   0.0, 200.0,  49.0,   13,   90,   13
  175.744,   0.0, 284.8, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.1,  -0.1,   0.0, 200.0,  49.0,   28,   90,   28
  175.778,   0.0, 284.8, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   2.2,   0.5,  -0.1,   0.0, 200.0,  49.0,   28,   90,   28
  175.811,   0.0, 284.9, 165.1,  -78,    0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.6,  -0.1,   0.0, 200.0,  49.0,  -44,   90,  -44
