loaded 341 states from 0004.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
  154.178,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.9,   1.4,  -0.1,   0.0, 200.0,  49.0,  -24,   90,  -24
  154.212,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.7,   1.4,  -0.1,   0.0, 200.0,  49.0,  -24,   90,  -24
  154.245,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,   22,   90,   22
  154.278,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.7,   1.3,  -0.1,   0.0, 200.0,  49.0,   50,   90,   50
  154.312,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.7,   1.5,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  154.345,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   0.9,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  154.378,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,   31,   90,   31
  154.412,  -0.0, 284.1, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   1.2,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
  154.445,  -0.0, 284.2, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.5,   1.1,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
  154.478,  -0.0, 284.2, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.1,  -0.1,   0.0, 200.0,  49.0,  -73,   90,  -73
  154.512,  -0.0, 284.2, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,   42,   90,   42
  154.545,  -0.0, 284.3, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.9,   1.2,  -0.1,   0.0, 200.0,  49.0,   42,   90,   42
  154.578,  -0.0, 284.3, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.9,   1.7,   1.6,  -0.1,   0.0, 200.0,  49.0,  -72,   90,  -72
  154.612,  -0.0, 284.4, 165.1,  -78,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   0.8,  -0.1,   0.0, 200.0,  49.0,   46,   90,   46
  154.645,  -0.0, 284.4, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.9,   1.7,   1.9,  -0.1,   0.0, 200.0,  49.0,   46,   90,   46
  154.678,  -0.0, 284.5, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.0,  -0.1,   0.0, 200.0,  49.0,  -73,   90,  -73
  154.712,  -0.0, 284.5, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.9,   2.2,  -0.1,   0.0, 200.0,  49.0,   -5,   90,   -5
