loaded 340 states from 0003.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
  130.646,   0.0, 284.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.3,   1.2,  -0.1,   0.0, 200.0,  49.0,  -24,   90,  -24
  130.679,   0.0, 284.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   2.0,   1.5,  -0.1,   0.0, 200.0,  49.0,  -24,   90,  -24
  130.712,   0.0, 284.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   0.1,  -0.1,   0.0, 200.0,  49.0,   22,   90,   22
  130.746,   0.0, 284.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.9,   1.7,   1.6,  -0.1,   0.0, 200.0,  49.0,   50,   90,   50
  130.779,   0.0, 284.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.5,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  130.812,   0.0, 284.1, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.2,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  130.846,   0.0, 284.1, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.3,  -0.1,   0.0, 200.0,  49.0,   31,   90,   31
  130.879,   0.0, 284.1, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.4,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
  130.912,   0.0, 284.1, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.6,   1.3,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
  130.946,   0.0, 284.2, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,   0.7,  -0.1,   0.0, 200.0,  49.0,  -73,   90,  -73
  130.979,   0.0, 284.2, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.9,   1.8,   0.7,  -0.1,   0.0, 200.0,  49.0,   42,   90,   42
  131.012,   0.0, 284.2, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   0.4,  -0.1,   0.0, 200.0,  49.0,   42,   90,   42
  131.046,   0.0, 284.3, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   2.0,  -0.1,   0.0, 200.0,  49.0,  -72,   90,  -72
  131.079,   0.0, 284.3, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,   0.7,  -0.1,   0.0, 200.0,  49.0,   46,   90,   46
  131.112,   0.0, 284.4, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.4,  -0.1,   0.0, 200.0,  49.0,   46,   90,   46
  131.146,   0.0, 284.4, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.4,  -0.1,   0.0, 200.0,  49.0,  -73,   90,  -73
  131.179,   0.0, 284.5, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   2.2,  -0.1,   0.0, 200.0,  49.0,   -5,   90,   -5
  131.212,   0.0, 284.5, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,   0.7,  -0.1,   0.0, 200.0,  49.0,   -5,   90,   -5
  131.246,   0.0, 284.6, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.3,   1.4,  -0.1,   0.0, 200.0,  49.0,  -74,   90,  -74
  131.279,   0.0, 284.6, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   2.0,   0.5,  -0.1,   0.0, 200.0,  49.0,   40,   90,   40
  131.312,   0.0, 284.7, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.9,   1.6,   3.3,  -0.1,   0.0, 200.0,  49.0,   40,   90,   40
  131.346,   0.0, 284.8, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   2.4,   0.6,  -0.1,   0.0, 200.0,  49.0,  -72,   90,  -72
  131.379,   0.0, 284.8, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.9,   1.8,   2.2,  -0.1,   0.0, 200.0,  49.0,   28,   90,   28
  131.412,   0.0, 284.9, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   2.3,  -0.3,  -0.1,   0.0, 200.0,  49.0,   28,   90,   28
  131.446,   0.0, 285.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.5,  -0.1,   0.0, 200.0,  49.0,  -33,   90,  -33
  131.479,   0.0, 285.0, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.8,   0.1,  -0.1,   0.0, 200.0,  49.0,   -2,   90,   -2
  131.512,   0.0, 285.1, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.8,   2.1,  -0.1,   0.0, 200.0,  49.0,   -2,   90,   -2
  131.546,   0.0, 285.2, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.9,   1.6,   0.9,  -0.1,   0.0, 200.0,  49.0,   48,   90,   48
  131.579,   0.0, 285.3, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.9,   1.7,   2.3,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  131.612,   0.0, 285.4, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,  -0.1,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
  131.646,   0.0, 285.5, 165.0,  -78,   -0,   -0,   0.0,   0.0,   0.8,   1.9,  -0.2,  -0.1,   0.0, 200.0,  49.0,   35,   90,   35
  131.679,   0.0, 285.6, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   2.2,   1.8,  -0.1,   0.0, 200.0,  49.0,   35,   90,   35
  131.712,   0.0, 285.6, 165.0,  -78,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   2.3,  -0.1,   0.0, 200.0,  49.0,   29,   90,   29
  131.746,   0.0, 285.7, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.6,   1.0,  -0.1,   0.0, 200.0,  49.0,   58,   90,   58
  131.779,   0.0, 285.8, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.9,   1.8,   0.1,  -0.1,   0.0, 200.0,  49.0,   58,   90,   58
  131.812,   0.0, 285.9, 165.0,  -77,   -0,   -0,   0.0,   0.0,   0.8,   1.7,  -0.3,  -0.1,   0.0, 200.0,  49.0,  -63,   90,  -63
  131.846,   0.0, 286.0, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.1,  -0.0,  -0.1,   0.0, 200.0,  49.0,  -53,   90,  -53
  131.879,   0.0, 286.1, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.6,   1.7,  -0.1,   0.0, 200.0,  49.0,  -18,   90,  -18
  131.912,   0.0, 286.3, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.5,   1.9,  -0.1,   0.0, 200.0,  49.0,  -18,   90,  -18
  131.946,   0.0, 286.4, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.0,  -0.1,   0.0, 200.0,  49.0,  -70,   90,  -70
  131.979,   0.0, 286.5, 165.0,  -77,   -0,   -0,   0.0,   0.0,   0.9,   1.8,  -3.1,  -0.1,   0.0, 200.0,  49.0,  -70,   90,  -70
  132.012,   0.0, 286.6, 165.0,  -77,   -0,   -0,  -0.1,   0.0,   0.8,   2.1,   4.0,  -0.1,   0.0, 200.0,  49.0,   55,   90,   55
  132.046,   0.0, 286.7, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.6,  -0.1,   0.0, 200.0,  49.0,   35,   90,   35
  132.079,   0.0, 286.9, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   2.1,   0.7,  -0.1,   0.0, 200.0,  49.0,  -19,   90,  -19
  132.112,   0.0, 287.0, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   2.3,   2.3,  -0.1,   0.0, 200.0,  49.0,  -19,   90,  -19
  132.146,   0.0, 287.1, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.9,   2.1,   1.8,  -0.1,   0.0, 200.0,  49.0,  -46,   90,  -46
  132.179,   0.0, 287.2, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.9,   2.0,   1.5,  -0.1,   0.0, 200.0,  49.0,  -45,   90,  -45
  132.212,   0.0, 287.4, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.7,   2.1,  -0.1,   0.0, 200.0,  49.0,  -45,   90,  -45
  132.246,   0.0, 287.5, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.4,   2.9,  -0.1,   0.0, 200.0,  49.0,   12,   90,   12
  132.279,   0.0, 287.7, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.8,  -0.4,  -0.1,   0.0, 200.0,  49.0,  -32,   90,  -32
  132.312,   0.0, 287.8, 165.0,  -77,   -0,   -0,   0.0,   0.0,   0.9,   2.1,  -3.0,  -0.1,   0.0, 200.0,  49.0,  -32,   90,  -32
  132.346,   0.0, 288.0, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.1,   3.4,  -0.1,   0.0, 200.0,  49.0,   15,   90,   15
  132.379,   0.0, 288.1, 165.0,  -77,   -0,   -0,  -0.0,   0.0,   0.8,   1.5,   2.1,  -0.1,   0.0, 200.0,  49.0,  -66,   90,  -66
