loaded 336 states from 0001.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
   63.281,  -0.0, 284.1, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.6,  -0.1,   0.0, 200.0,  49.0,  -53,   90,  -53
   63.347,  -0.0, 284.1, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.5,  -0.1,   0.0, 200.0,  49.0,   33,   90,   33
   63.381,  -0.0, 284.1, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.7,   1.8,  -0.1,   0.0, 200.0,  49.0,   38,   90,   38
   63.414,  -0.0, 284.1, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,   38,   90,   38
   63.447,  -0.0, 284.2, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,   50,   90,   50
   63.481,  -0.0, 284.2, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.9,   1.6,  -0.1,   0.0, 200.0,  49.0,    3,   90,    3
   63.514,  -0.0, 284.2, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.5,   2.1,  -0.1,   0.0, 200.0,  49.0,    3,   90,    3
   63.547,  -0.0, 284.3, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   2.1,   2.2,  -0.1,   0.0, 200.0,  49.0,  -59,   90,  -59
   63.581,  -0.0, 284.3, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.8,   1.5,   1.7,  -0.1,   0.0, 200.0,  49.0,  -64,   90,  -64
   63.614,  -0.0, 284.4, 164.9,  -77,    0,   -0,  -0.0,   0.0,   0.9,   2.5,   2.0,  -0.1,   0.0, 200.0,  49.0,   58,   90,   58
   63.647,  -0.0, 284.4, 164.9,  -77,    0,   -0,  -0.0,   0.1,   0.8,   2.6,   0.7,  -0.1,   0.0, 200.0,  49.0,   58,   90,   58
