loaded 340 states from 0002.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
   98.947,  -0.0, 285.9, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   2.7,  -0.1,   0.0, 200.0,  49.0,  -63,   90,  -63
   98.980,  -0.0, 286.0, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.4,   1.4,  -0.1,   0.0, 200.0,  49.0,  -63,   90,  -63
   99.013,  -0.0, 286.1, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   0.9,   2.3,  -0.1,   0.0, 200.0,  49.0,  -14,   90,  -14
   99.046,  -0.0, 286.2, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   3.1,  -0.1,   0.0, 200.0,  49.0,  -18,   90,  -18
   99.080,  -0.0, 286.3, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.1,   2.8,  -0.1,   0.0, 200.0,  49.0,  -18,   90,  -18
   99.113,  -0.0, 286.4, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   0.7,  -0.1,   0.0, 200.0,  49.0,  -73,   90,  -73
   99.147,  -0.0, 286.5, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.8,  -0.1,   0.0, 200.0,  49.0,   55,   90,   55
   99.180,  -0.0, 286.6, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.7,   1.7,  -0.1,   0.0, 200.0,  49.0,   55,   90,   55
   99.213,  -0.0, 286.8, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.5,   1.2,  -0.1,   0.0, 200.0,  49.0,   35,   90,   35
   99.247,  -0.0, 286.9, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   0.9,   0.2,  -0.1,   0.0, 200.0,  49.0,  -19,   90,  -19
